NDG;PAESE_RESIDENZA;COMUNE_RESIDENZA;TIPO_PERSONA
0000000000000000;262;VALDIDENTRO;PF
0000000000000071;069;;
0000000000000102;086;VIGEVANO;PF
0000000000000103;086;BOVISIO MASCIAGO;PF
0000000000000108;086;SEREGNO;PF
0000000000000112;086;SALE MARASINO;PF
0000000000000113;086;SESTO SAN GIOVANNI;PF
0000000000000123;086;CREMA;PF
0000000000000144;086;MILANO;PG
0000000000000150;086;COMO;PF
0000000000000152;086;CERNUSCO SUL NAVIGLIO;
0000000000000155;086;CREMA;PG
0000000000000168;086;ROMA;PG
0000000000000182;086;COLERE;PG
0000000000000186;086;ROMA;PF
0000000000000198;086;MILANO;PF
0000000000000211;086;MARIANO COMENSE;PF
0000000000000215;086;GAGGIANO;PF
0000000000000233;086;MERANO;PF
0000000000000237;086;PAVIA;PF
0000000000000240;086;ALBIATE;PF
0000000000000242;086;ALBIATE;
0000000000000258;086;POSTAL;PF
0000000000000261;086;PIANELLO DEL LARIO;PF
0000000000000273;086;PORTO MANTOVANO;PF
0000000000000279;086;PORTO MANTOVANO;PF
0000000000000287;086;MANERBA DEL GARDA;PF
0000000000000293;086;MILANO;PF
0000000000000300;086;MILANO;PF
0000000000000316;086;CASTEL D'ARIO;PF
0000000000000343;086;GORDONA;PF
0000000000000353;086;VIGEVANO;PF
0000000000000363;086;MILANO;PF
0000000000000374;086;LOMAGNA;
0000000000000375;086;CORNAREDO;PG
0000000000000381;086;ALBIOLO;PF
0000000000000384;086;ROMA;PG
0000000000000392;086;SONDRIO;
0000000000000394;086;DARFO BOARIO TERME;PF
0000000000000403;086;PIACENZA;
0000000000000416;086;NOVARA;PF
0000000000000425;086;MILANO;PF
0000000000000427;086;VENEGONO SUPERIORE;PF
0000000000000430;086;NOVARA;PF
0000000000000431;086;VENEGONO SUPERIORE;PF
0000000000000436;086;FLERO;PF
0000000000000438;086;COMO;PG
0000000000000441;086;MILANO;PF
0000000000000445;086;CESANO MADERNO;PF
0000000000000448;086;MILANO;PF
0000000000000476;086;COMO;PF
0000000000000477;086;MILANO;PF
0000000000000479;086;COMO;PF
0000000000000488;086;CASTELSEPRIO;PF
0000000000000489;086;VITTORIO VENETO;PF
0000000000000492;086;CASTELSEPRIO;PG
0000000000000497;086;NATURNO;PF
0000000000000513;086;GRAVEDONA ED UNITI;PF
0000000000000519;086;TREMEZZINA;PF
0000000000000521;086;MONTEGRINO VALTRAVAGLIA;PF
0000000000000531;086;PORTO VALTRAVAGLIA;PF
0000000000000539;086;VEDUGGIO CON COLZANO;PG
0000000000000549;086;MILANO;PF
0000000000000588;086;OSIO SOTTO;PF
0000000000000590;086;PROVAGLIO D'ISEO;PF
0000000000000596;086;MONTICHIARI;PF
0000000000000601;086;SEGRATE;PF
0000000000000603;086;VIGEVANO;PG
0000000000000626;086;MARCHIROLO;PF
0000000000000635;086;RIPALTA CREMASCA;
0000000000000640;086;VALSOLDA;PF
0000000000000645;086;CESANO MADERNO;
0000000000000663;086;MILANO;PF
0000000000000667;086;MILANO;PF
0000000000000679;086;SONDRIO;PG
0000000000000699;086;BUSTO GAROLFO;PF
0000000000000721;086;VARESE;PF
0000000000000761;086;SONDALO;PF
0000000000000763;086;MILANO;PG
0000000000000781;086;MONZA;PF
0000000000000785;086;TEMU';PF
0000000000000796;086;GALLARATE;PF
0000000000000806;086;ROMA;PG
0000000000000817;086;LUZZANA;PF
0000000000000818;086;MARIANO COMENSE;PF
0000000000000831;086;ROMA;PF
0000000000000836;086;MILANO;PG
0000000000000840;086;MOZZANICA;PF
0000000000000848;086;MILANO;PF
0000000000000854;086;NOVATE MILANESE;PF
0000000000000855;086;ALBANO SANT'ALESSANDRO;PF
0000000000000860;086;SALO';PG
0000000000000861;086;SALO';PG
0000000000000864;086;SALO';PG
0000000000000868;086;CANTU';PF
0000000000000870;086;PONTE DI LEGNO;PF
0000000000000871;086;BRUSIMPIANO;PF
0000000000000894;086;BRESCIA;PF
0000000000000899;086;GALLIATE;PF
0000000000000902;086;ROMA;PF
0000000000000904;086;DESENZANO DEL GARDA;PF
0000000000000905;086;BOSISIO PARINI;PF
0000000000000908;086;RIVOLTA D'ADDA;PF
0000000000000909;086;SPINO D'ADDA;PF
0000000000000914;086;FRASCATI;PF
0000000000000926;086;BRESCIA;
0000000000000936;086;VILLA D'ALME;PF
0000000000000940;086;PALAZZOLO SULL'OGLIO;PF
0000000000000947;086;TROMELLO;PF
0000000000000950;086;GIANICO;PF
0000000000000958;086;LECCO;
0000000000000965;086;CASTIGLIONE DELLE STIVIERE;PF
0000000000000977;086;RIFIANO;PF
0000000000000981;086;MERANO;PG
0000000000000987;086;BUCCINASCO;PF
0000000000000991;086;CASTIGLIONE DELLE STIVIERE;PF
0000000000000992;086;VICENZA;PF
0000000000000996;086;DESENZANO DEL GARDA;PF
0000000000000997;086;LONATO DEL GARDA;PF
0000000000000998;086;DESENZANO DEL GARDA;PG
0000000000001002;086;ROMA;PF
0000000000001010;086;SONDRIO;PG
0000000000001034;086;MONZA;PG
0000000000001039;086;ROMA;PF
0000000000001040;086;ROMA;PF
0000000000001042;086;ALMENNO SAN SALVATORE;PF
0000000000001067;086;CAMISANO VICENTINO;PF
0000000000001084;086;ROMA;PF
0000000000001089;086;MAGNAGO;PF
0000000000001092;086;MAGNAGO;PF
0000000000001094;086;MILANO;PF
0000000000001095;086;MILANO;PG
0000000000001101;086;TRESIVIO;PF
0000000000001105;086;ABBADIA LARIANA;PF
0000000000001131;071;RUVIGLIANA;PF
0000000000001133;086;ROMA;PF
0000000000001134;086;ROMA;PF
0000000000001136;086;LURAGO MARINONE;PF
0000000000001144;086;RHO;PF
0000000000001151;086;CASSAGO BRIANZA;PF
0000000000001156;086;BUSTO ARSIZIO;PF
0000000000001160;086;BONATE SOTTO;PF
0000000000001166;086;ROMA;PG
0000000000001175;086;ROMA;PF
0000000000001197;086;ROMA;PF
0000000000001203;086;ROMA;PF
0000000000001211;086;MILANO;PF
0000000000001213;086;TRENTO;PF
0000000000001227;086;SAN FEDELE INTELVI;PG
0000000000001237;086;MILANO;PF
0000000000001241;086;MILANO;PF
0000000000001257;086;CORSICO;PF
0000000000001259;086;LIERNA;PF
0000000000001261;086;LIERNA;PF
0000000000001262;086;LIERNA;PG
0000000000001263;086;SELLERO;PF
0000000000001265;086;LIERNA;PF
0000000000001281;086;GALLARATE;PF
0000000000001291;086;ROMA;PG
0000000000001296;086;MILANO;PF
0000000000001305;086;SONDRIO;PF
0000000000001308;086;ROMA;PF
0000000000001314;086;LIERNA;PF
0000000000001321;086;MILANO;PF
0000000000001328;086;SESTO SAN GIOVANNI;PF
0000000000001332;086;DOMASO;PF
0000000000001351;086;BINAGO;PG
0000000000001352;086;CASCIAGO;PF
0000000000001355;086;MALNATE;PG
0000000000001360;086;MILANO;PF
0000000000001373;086;ROMA;PF
0000000000001378;086;APPIANO GENTILE;PF
0000000000001389;086;CASCIAGO;PG
0000000000001411;086;GENOVA;PF
0000000000001433;086;POZZAGLIO ED UNITI;PF
0000000000001439;086;PANDINO;PF
0000000000001442;086;VOGHERA;PG
0000000000001461;086;CAMPIONE D'ITALIA;PF
0000000000001464;086;PAVIA;PF
0000000000001468;086;TRIUGGIO;PF
0000000000001470;086;CREMA;PF
0000000000001471;086;TRIUGGIO;PF
0000000000001478;086;BIASSONO;PF
0000000000001479;086;CHIAVENNA;PG
